"Analista","Sub Classificação","Motivo","Data Inicio","CNPJ","Razão Social","Descrição","FCR","Área responsável pela resolução","Origem do contato","Tipo de contato","Data Fim","GN","Solicitante","Observação","Status de liberação","Status de aprovação","Anexos"
"Roberta","Reclamação","Instabilidade no APP KMV","18/11/2025","23311314000100","AP R. F. LTDA","Pedro consultor relatou instabilidade ao fazer pagamento pelo KMV.","SIM","Engenharia TI","Whatsapp","Receptivo","18/11/2025","G.N. Urbano Belem","Revendedor",,,,"0"
"Roberta","Aquisição","OFS Desconto","17/11/2025","1675138000153","Rede AM ","Apresentação de OFS Desconto","SIM","Torre de Expansão","Whastapp","Ativo","18/11/2025","G.N. Urbano Goiania","Revendedor",,,,"0"
"Roberta","Reclamação","Erro na impressão do SLIP","14/11/2025","37063328000833","Auto Shopping","Revendedor solicitar confirmar autorização de pagamento de transação realizada pelo APP.","SIM","Torre de Expansão","Whastapp","Receptivo","20/11/2025","G.N. Urbano Goiania","Revendedor",,,,"0"
"Thiago","Aquisição","OFS Desconto","04/12/2025","4785105000154","Valenca Service","Posto com campanha ativa desde 20/10/2025, oferecendo R$9,00 de desconto no etanol original para clientes com ticket acima de R$100,00.
Apesar da mecânica atrativa, o posto registrou apenas ~50 transações inicialmente.
Após contato com a gerência, identificamos falha no processo: não inserção do CPF no atendimento, impactando a concessão do desconto.
Alinhamos reforço operacional com a gerente e estamos monitorando.
Status atual: 110 transações.","SIM","Torre de Expansão","Telefone","Ativo","17/11/2025","G.N. Urbano Campinas","Revendedor",,,"0","0"
"Ricardo","Solicitação","Alteração de Domicílio Bancário","24/11/2025","20887348000230","Abastecedora De Combs.Rodovia Rs-118 Lt","Revendedora Juliana solicitou alteração do domicílio bancário do posto. Foi solicitado comprovante bancário contendo CNPJ do posto, nome do banco, agência e conta. Comprovante encaminhado para Ana Paula Farandi.","NÃO","Coord. De Controladoria","Whatsapp","Receptivo",,"G.N. Urbano Porto Alegre","Revendedor",,,,"0"
"Ricardo","Reclamação","Escola de Varejo","27/11/2025","2297218000185","M.L.L. Comercio De Combustiveis Ltda","A revendedora Elisângela entrou em contato para reclamar, alegando que não está conseguindo acessar a Escola de Varejo. Informei à revendedora que vou solicitar apoio do consultor de trade Lincoln, visto que não tenho atuação nesse sentido.","NÃO","Trade Marketing","Whatsapp","Receptivo","27/11/2025","G.N. Urbano Curitiba","Revendedor",,,"0","0"
"Ricardo","Solicitação","Tratativa com Automação","27/11/2025","577709000154","Auto Posto Pinotti Ltda Me","A consultora Octavia solicitou meu apoio para a ativação da revenda no KMV. Solicitei à equipe Xpert, por e-mail, que siga com a instalação do Conecta.","NÃO","Parceiros Conecta","Teams","Receptivo","01/12/2025","G.N. Urbano Florianopolis","CT","Grazieli (Xpert) irá seguir com a instalação.",,"0","0"
"Ricardo","Reclamação","Instabilidade no APP KMV","27/11/2025","87091997000110","Rede Farroupilha Gestao, Varejo E Inova","O revendedor Cristiano entrou em contato para relatar que o aplicativo do KMV tem apresentado muitas intermitências na pista. Segundo ele, esse problema ocorre com frequência às terças e quartas-feiras.","NÃO","Coord Produtos Digitais B2B","Whastapp","Receptivo","27/11/2025","G.N. Urbano Porto Alegre","Revendedor","Vou levar o caso para o time de produtos. ",,"0","0"
"Ricardo","Solicitação","Tratativas Financeiras/Repasses","28/11/2025","87091997000110","Rede Farroupilha Gestao, Varejo E Inova","Zé Mario (Rede Farroupilha) solicitou antecipação manual dos repasses KMV por não conseguir realizar dentro da programação interna. A demanda foi analisada, acionado financeiro e envolvida gerência para tentar viabilizar, mas não foi possível atender devido ao fechamento do fluxo de pagamentos às 7h30 e à complexidade do processo. Cliente informado sobre a impossibilidade, reforçando esforço da equipe e manutenção do cronograma normal.","SIM","Coord. De Controladoria","Telefone","Receptivo","28/11/2025","G.N. Urbano Porto Alegre","Revendedor","Assunto encerrado. ",,,"0"
"Thiago","Dúvida","Tratativa com Automação","28/11/2025","24052827000107","Rede Brothers","Postos com duvida sobre sobre transação kmv + pagamento de itens da loja informado ao posto que 
A Linx está com uma regra que não permite pagar combustível e produtos juntos no KMV. O processo precisa ser feito de forma separada: primeiro o pagamento do combustível e depois o pagamento dos produtos da ampm pelo app.","SIM","Torre de Expansão","Whatsapp","Receptivo","28/11/2025","G.N. Urbano Sp Oeste","Revendedor",,,"0","0"
